;Datum;cases;deaths;countriesAndTerritories
1;2020.12.14;746;6;Afghanistan
2;2020.12.13;298;9;Afghanistan
3;2020.12.12;113;11;Afghanistan
4;2020.12.11;63;10;Afghanistan
5;2020.12.10;202;16;Afghanistan
6;2020.12.09;135;13;Afghanistan
7;2020.12.08;200;6;Afghanistan
8;2020.12.07;210;26;Afghanistan
9;2020.12.06;234;10;Afghanistan
10;2020.12.05;235;18;Afghanistan
11;2020.12.04;119;5;Afghanistan
12;2020.12.03;202;19;Afghanistan
13;2020.12.02;400;48;Afghanistan
14;2020.12.01;272;11;Afghanistan
15;2020.11.30;0;0;Afghanistan
16;2020.11.29;228;11;Afghanistan
17;2020.11.28;214;15;Afghanistan
18;2020.11.27;0;0;Afghanistan
19;2020.11.26;200;12;Afghanistan
